Date,Close,High,Low,Open,Volume,Daily Return,SMA_7,SMA_21,Volatility
Ticker,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-07-15,25195.80078125,25245.19921875,25088.44921875,25089.5,241300,,,,
2025-07-16,25212.05078125,25255.30078125,25121.05078125,25196.599609375,228800,0.0006449487413033861,,,
2025-07-17,25111.44921875,25238.349609375,25101.0,25230.75,243400,-0.003990217351728331,,,
2025-07-18,24968.400390625,25144.599609375,24918.650390625,25108.55078125,317000,-0.0056965580472427835,,,
2025-07-21,25090.69921875,25111.400390625,24882.30078125,24999.0,305200,0.004898144302865282,,,
2025-07-22,25060.900390625,25182.0,25035.55078125,25166.650390625,483700,-0.0011876443882732346,,,
2025-07-23,25219.900390625,25233.5,25085.5,25139.349609375,271500,0.006344544590244583,25122.743024553572,,92.69428295993522
2025-07-24,25062.099609375,25246.25,25018.69921875,25243.30078125,338700,-0.006256994627491075,25103.64285714286,,88.82553479145042
2025-07-25,24837.0,25010.349609375,24806.349609375,25010.349609375,278100,-0.008981674037030651,25050.06417410714,,120.13274748593349
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100,-0.006284962329387578,24988.557198660714,,179.1755569454079
2025-07-29,24821.099609375,24847.150390625,24598.599609375,24609.650390625,284700,0.005680474234370125,24967.514229910714,,190.24518513516588
2025-07-30,24855.05078125,24902.30078125,24771.94921875,24890.400390625,243900,0.001367835124523431,24933.850167410714,,185.60710514595897
2025-07-31,24768.349609375,24956.5,24635.0,24642.25,346300,-0.0034882717656889994,24892.057198660714,,185.16753437393737
2025-08-01,24565.349609375,24784.150390625,24535.05078125,24734.900390625,263400,-0.008195943742782208,24798.549944196428,,154.79746909760513
2025-08-04,24722.75,24736.25,24554.0,24596.05078125,259300,0.006407415043054421,24750.071428571428,,102.96405426018133
2025-08-05,24649.55078125,24733.099609375,24590.30078125,24720.25,251800,-0.0029608040671041946,24723.29296875,,100.943714888225
2025-08-06,24574.19921875,24671.400390625,24539.19921875,24641.349609375,225100,-0.003056914228121266,24708.049944196428,,115.4290319336254
2025-08-07,24596.150390625,24634.19921875,24344.150390625,24464.19921875,616700,0.0008932609229541644,24675.91434151786,,109.89053117739054
2025-08-08,24363.30078125,24585.5,24337.5,24544.25,312600,-0.009466912735407229,24605.66434151786,,131.36939621929096
2025-08-11,24585.05078125,24600.849609375,24347.44921875,24371.5,241100,0.009101804471857822,24579.47879464286,,110.08038881600048
2025-08-12,24487.400390625,24702.599609375,24465.650390625,24563.349609375,237000,-0.003971941790719136,24568.343191964286,24829.878720238095,115.55441654066954
2025-08-13,24619.349609375,24664.55078125,24535.25,24586.19921875,236000,0.005388453516712133,24553.571707589286,24802.428664434523,97.76651956501429
2025-08-14,24631.30078125,24673.650390625,24596.900390625,24607.25,270200,0.00048543816407109475,24550.96456473214,24774.773902529763,94.9842092502561
2025-08-18,24876.94921875,25022.0,24852.849609375,24938.19921875,363100,0.009973019276634965,24594.21456473214,24763.607235863095,156.39917308455415
2025-08-19,24980.650390625,25012.650390625,24873.94921875,24891.349609375,252300,0.004168564680625764,24649.143136160714,24764.190569196428,214.07672785184545
2025-08-20,25050.55078125,25088.69921875,24929.69921875,24965.80078125,287100,0.0027981813736617234,24747.321707589286,24762.278738839286,218.67864356457758
2025-08-21,25083.75,25153.650390625,25054.900390625,25142.0,226500,0.0013252889742787488,24818.564453125,24763.36681547619,237.43263457472787
2025-08-22,24870.099609375,25084.849609375,24859.150390625,25064.150390625,210200,-0.008517482060098724,24873.235770089286,24746.709635416668,187.22050346873604
