source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_label,sentiment_score
"{'id': None, 'name': 'Livemint'}",mint,Mint Explainer | What India Inc’s Q1 results mean for market investors,"Despite signs of recovery in certain segments, the Q1 earnings season has painted a bleak picture for many companies in India, with single-digit growth persisting. Here's a look at the winners and losers of the Q1 results season",https://www.livemint.com/companies/company-results/india-inc-q1-fy26-results-q1-fy26-earnings-season-corporate-earnings-india-2025-bse500-companies-11755773668389.html,https://www.livemint.com/lm-img/img/2025/08/21/1600x900/mkt_1739444446027_1755776553217.png,2025-08-22 01:30:02+00:00,"The curtains have come down on the earnings season for the first quarter of this financial year. Continued weakness in consumer sentiment, global macroeconomic turbulence and operational headwinds ma… [+11378 chars]",2025-08-22,negative,-0.9999786730822962
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for August 22, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-august-22/article69959953.ece,https://bl-i.thgim.com/public/incoming/xmd473/article69656026.ece/alternates/LANDSCAPE_1200/PO09_Buy_sell_dices.jpg,2025-08-22 00:51:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2331 chars]",2025-08-22,negative,-0.9999932980726953
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,ETMarkets Smart Talk | Markets attractive for medium to long-term investors despite near-term volatility: Sachin Bajaj,"Sachin Bajaj from Axis Max Life Insurance suggests Indian markets are still appealing for long-term investors. He acknowledges short-term market fluctuations due to global factors. The US tariffs pose challenges for Indian exporters. However, India's strong d…",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-markets-attractive-for-medium-to-long-term-investors-despite-near-term-volatility-sachin-bajaj/articleshow/123400583.cms,"https://img.etimg.com/thumb/msid-123400584,width-1200,height-630,imgsize-244185,overlay-etmarkets/articleshow.jpg",2025-08-21 03:31:00+00:00,"In an exclusive interaction with ETMarkets Smart Talk, Sachin Bajaj, Executive Vice President and Chief Investment Officer at Axis Max Life Insurance, said that Indian markets, despite facing near-te… [+4847 chars]",2025-08-21,neutral,-1.0086301571732292e-08
"{'id': None, 'name': 'BusinessLine'}","Team BL, KS Badri Narayanan","Stock market highlights 21 August 2025: Sensex, Nifty extend winning run to sixth day; buying in ICICI Bank, RIL lifts indices","Sensex, Nifty, Share Price: Stock markets extended their winning run to a sixth consecutive day on Thursday, with benchmark Sensex closing higher by nearly 143 points on buying in blue-chip shares ICICI Bank and Reliance Industries.
The 30-share BSE Sensex cl…",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-highlights-21-august-2025/article69956063.ece,https://bl-i.thgim.com/public/incoming/aojfqc/article69958721.ece/alternates/LANDSCAPE_1200/stock%20market%20graph.jpg,2025-08-21 01:32:44+00:00,"<li></li>
August 21, 2025 16:31Stock market live updates: Stock markets extend winning run to sixth day; Sensex settles 143 points higher on buying in ICICI Bank, Reliance
Stock markets extended th… [+71123 chars]",2025-08-21,negative,-0.9748802780295591
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for August 21, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-august-21/article69955875.ece,https://bl-i.thgim.com/public/incoming/84khnm/article69711880.ece/alternates/LANDSCAPE_1200/PO16_Buy_sell_dice.jpg,2025-08-21 00:51:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2390 chars]",2025-08-21,negative,-0.9999924088363059
"{'id': None, 'name': 'BusinessLine'}","Team BL, KS Badri Narayanan",Stock Market Live Updates 20 August 2025: Stock to buy today: Aditya Birla Sun Life AMC (₹896.40),"Sensex, Nifty, Share Prices LIVE: The short-term outlook is bullish for Aditya Birla Sun Life AMC. The 4 per cent rise on Tuesday indicates that the stock has begun a fresh leg of upmove. This rise has taken the share price well above a key resistance level o…",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-20-august-2025/article69901216.ece,https://bl-i.thgim.com/public/incoming/r2nevr/article69950234.ece/alternates/LANDSCAPE_1200/PO05_World_stockchart.jpg,2025-08-20 01:12:06+00:00,"Motion of red green candle stick graph chart of stock market trading with world map background, Bullish Bearish stock point. Economy trends charts for business. Financial investment concept. For desi… [+892 chars]",2025-08-20,neutral,-0.27323913980217185
